path,kind,bytes,loc
docs/archive/old_docs/REPOS_SUMMARY.md,.md,2118,83
docs/archive/old_docs/REPO_ANALYSIS.md,.md,1399,57
docs/archive/old_docs/RUN_APP.md,.md,5340,273
docs/archive/old_docs/STARTUP_GUIDE.md,.md,3896,144
docs/archive/old_docs/START_SERVICES_GUIDE.md,.md,4512,266
docs/archive/old_docs/STORYBOOK_SETUP_COMPLETE.md,.md,1236,51
docs/archive/old_docs/SUGGESTIONS.md,.md,10917,487
docs/archive/old_docs/TESTING_GUIDE.md,.md,12952,478
docs/archive/old_docs/TODO_SUMMARY.md,.md,1196,51
docs/archive/old_docs/TROUBLESHOOTING_GUIDE.md,.md,19276,720
docs/archive/old_docs/UI_UX_ROADMAP.md,.md,3398,166
docs/archive/old_docs/USER_MANUAL.md,.md,26351,1055
docs/archive/old_docs/USE_CASES_DETAILED.md,.md,3212,184
docs/archive/old_docs/WELCOME_SCREEN_GUIDE.md,.md,4204,157
docs/archive/old_docs/external-repos-memory.md,.md,3868,70
docs/codebase_memory_v2.1.md,.md,3193,121
docs/frontend_migration_report.md,.md,3882,44
docs/security_research.md,.md,2716,48
docs/upgrade_prompt_framework.md,.md,1221,65
docs/verified_coding_policy.md,.md,1379,69
fix_report.md,.md,2145,41
frontend/.env.example,.example,1339,27
frontend/.eslintrc.js,.js,717,28
frontend/.vscode/settings.json,.json,405,10
frontend/Dockerfile,Dockerfile,453,23
frontend/MODERN_UI_UX_UPGRADE.md,.md,6475,268
frontend/PERFORMANCE_GUIDE.md,.md,8838,388
frontend/QR_SCAN_DIAGNOSTIC_REPORT.md,.md,5968,256
frontend/TEST_QR_INTEGRATION.sh,.sh,1321,54
frontend/TEST_QR_SCAN.sh,.sh,1851,59
frontend/UI_UX_UPGRADE_SUMMARY.md,.md,9990,425
frontend/__tests__/components.test.tsx,.tsx,3334,141
frontend/__tests__/home.test.tsx,.tsx,2426,106
frontend/__tests__/login.test.tsx,.tsx,2208,91
frontend/__tests__/staff/home.test.tsx,.tsx,3218,110
frontend/app.json,.json,185,11
frontend/app/+not-found.tsx,.tsx,852,39
frontend/app/_layout.tsx,.tsx,16185,502
frontend/app/admin/_layout.tsx,.tsx,2401,72
frontend/app/admin/control-panel-v2.tsx,.tsx,17514,630
